Date,Product Name,Quantity (000 MT),YoY Growth %
2020-04-01,Diesel (HSD),3252.0,N/A (baseline year)
2020-05-01,Diesel (HSD),5494.0,N/A (baseline year)
2020-06-01,Diesel (HSD),6299.0,N/A (baseline year)
2020-07-01,Diesel (HSD),5506.0,N/A (baseline year)
2020-08-01,Diesel (HSD),4843.0,N/A (baseline year)
2020-09-01,Diesel (HSD),5487.0,N/A (baseline year)
2020-10-01,Diesel (HSD),7001.0,N/A (baseline year)
2020-11-01,Diesel (HSD),7039.0,N/A (baseline year)
2020-12-01,Diesel (HSD),7192.0,N/A (baseline year)
2021-01-01,Diesel (HSD),6806.0,N/A (baseline year)
2021-02-01,Diesel (HSD),6569.0,N/A (baseline year)
2021-03-01,Diesel (HSD),7225.0,N/A (baseline year)
2021-04-01,Diesel (HSD),6675.63,105.3
2021-05-01,Diesel (HSD),5532.19,0.7
2021-06-01,Diesel (HSD),6195.27,-1.6
2021-07-01,Diesel (HSD),6134.22,11.4
2021-08-01,Diesel (HSD),5602.95,15.7
2021-09-01,Diesel (HSD),5512.96,0.5
2021-10-01,Diesel (HSD),6616.31,-5.5
2021-11-01,Diesel (HSD),6505.85,-7.6
2021-12-01,Diesel (HSD),7302.33,1.5
2022-01-01,Diesel (HSD),6365.63,-6.5
2022-02-01,Diesel (HSD),6510.92,-0.9
2022-03-01,Diesel (HSD),7704.44,6.6
2022-04-01,Diesel (HSD),7199.2,7.8
2022-05-01,Diesel (HSD),7287.41,31.7
2022-06-01,Diesel (HSD),7673.9,23.9
2022-07-01,Diesel (HSD),6633.36,8.1
2022-08-01,Diesel (HSD),6342.57,13.2
2022-09-01,Diesel (HSD),6252.52,13.4
2022-10-01,Diesel (HSD),6986.03,5.6
2022-11-01,Diesel (HSD),7762.96,19.3
2022-12-01,Diesel (HSD),7787.43,6.6
2023-01-01,Diesel (HSD),7178.07,12.8
2023-02-01,Diesel (HSD),7002.79,7.6
2023-03-01,Diesel (HSD),7794.21,1.2
2023-04-01,Diesel (HSD),7818.33,8.6
2023-05-01,Diesel (HSD),8217.12,12.8
2023-06-01,Diesel (HSD),7905.78,3.0
2023-07-01,Diesel (HSD),6885.46,3.8
2023-08-01,Diesel (HSD),6670.06,5.2
2020-04-01,Petrol (MS),973.0,N/A (baseline year)
2020-05-01,Petrol (MS),1771.0,N/A (baseline year)
2020-06-01,Petrol (MS),2282.0,N/A (baseline year)
2020-07-01,Petrol (MS),2261.0,N/A (baseline year)
2020-08-01,Petrol (MS),2382.0,N/A (baseline year)
2020-09-01,Petrol (MS),2451.0,N/A (baseline year)
2020-10-01,Petrol (MS),2655.0,N/A (baseline year)
2020-11-01,Petrol (MS),2665.0,N/A (baseline year)
2020-12-01,Petrol (MS),2706.0,N/A (baseline year)
2021-01-01,Petrol (MS),2611.0,N/A (baseline year)
2021-02-01,Petrol (MS),2472.0,N/A (baseline year)
2021-03-01,Petrol (MS),2740.0,N/A (baseline year)
2021-04-01,Petrol (MS),2385.96,145.2
2021-05-01,Petrol (MS),1990.99,12.4
2021-06-01,Petrol (MS),2409.18,5.6
2021-07-01,Petrol (MS),2630.35,16.3
2021-08-01,Petrol (MS),2692.06,13.0
2021-09-01,Petrol (MS),2597.94,6.0
2021-10-01,Petrol (MS),2750.48,3.6
2021-11-01,Petrol (MS),2645.24,-0.7
2021-12-01,Petrol (MS),2815.85,4.1
2022-01-01,Petrol (MS),2472.98,-5.3
2022-02-01,Petrol (MS),2549.8,3.1
2022-03-01,Petrol (MS),2908.14,6.1
2022-04-01,Petrol (MS),2797.37,17.2
2022-05-01,Petrol (MS),3016.92,51.5
2022-06-01,Petrol (MS),2968.47,23.2
2022-07-01,Petrol (MS),2808.35,6.8
2022-08-01,Petrol (MS),3005.64,11.6
2022-09-01,Petrol (MS),2827.02,8.8
2022-10-01,Petrol (MS),2996.49,8.9
2022-11-01,Petrol (MS),2860.92,8.2
2022-12-01,Petrol (MS),2983.71,6.0
2023-01-01,Petrol (MS),2827.48,14.3
2023-02-01,Petrol (MS),2776.4,8.9
2023-03-01,Petrol (MS),3107.59,6.9
2023-04-01,Petrol (MS),2877.18,2.9
2023-05-01,Petrol (MS),3349.63,11.0
2023-06-01,Petrol (MS),3151.77,6.2
2023-07-01,Petrol (MS),2983.66,6.2
2023-08-01,Petrol (MS),3093.32,2.9
