State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total,Charging Stations,2W Share %,3W Share %,4W Share %,EV per Charging Station,Infra Adequacy Tier,National Rank (EV Volume)
Andaman and Nicobar Island,1,30.0,81,0.0,40.0,0.0,0.0,0.0,7.0,159,0.0,0.6,18.9,50.9,,No Data Reported,29
Arunachal Pradesh,14,0.0,5,0.0,0.0,0.0,0.0,0.0,1.0,20,0.0,70.0,0.0,25.0,,No Data Reported,31
Assam,721,47041.0,161,7.0,15.0,0.0,0.0,0.0,2.0,47947,10.0,1.5,98.1,0.3,4794.7,Critical Gap,8
Bihar,5003,59079.0,114,11.0,26.0,0.0,0.0,0.0,8.0,64241,9.0,7.8,92.0,0.2,7137.9,Critical Gap,4
Chandigarh,298,1410.0,182,0.0,40.0,0.0,0.0,0.0,1.0,1931,2.0,15.4,73.0,9.4,965.5,Under-served,21
Chhattisgarh,6424,5341.0,117,1077.0,1.0,0.0,0.0,368.0,100.0,13428,18.0,47.8,39.8,0.9,746.0,Under-served,14
Delhi,14730,112831.0,3051,49.0,39.0,0.0,0.0,0.0,1602.0,132302,179.0,11.1,85.3,2.3,739.1,Under-served,2
Goa,1314,28.0,289,13.0,36.0,2.0,0.0,0.0,4.0,1686,8.0,77.9,1.7,17.1,210.8,Adequate,22
Gujarat,13662,1869.0,1309,28.0,278.0,344.0,0.0,26.0,77.0,17593,78.0,77.7,10.6,7.4,225.6,Adequate,12
Haryana,7777,18595.0,186,122.0,8.0,2.0,0.0,0.0,90.0,26780,62.0,29.0,69.4,0.7,431.9,Adequate,10
Himachal Pradesh,368,167.0,37,7.0,86.0,0.0,0.0,0.0,46.0,711,6.0,51.8,23.5,5.2,118.5,Adequate,25
Jammu and Kashmir,1417,43.0,10,6.0,43.0,0.0,0.0,0.0,8.0,1527,7.0,92.8,2.8,0.7,218.1,Adequate,24
Jharkhand,2961,8986.0,139,24.0,4.0,0.0,0.0,0.0,57.0,12171,22.0,24.3,73.8,1.1,553.2,Under-served,16
Karnataka,56737,16478.0,7212,153.0,44.0,1.0,1.0,0.0,1420.0,82046,134.0,69.2,20.1,8.8,612.3,Under-served,3
Kerala,10299,2115.0,2524,43.0,23.0,0.0,1.0,0.0,17.0,15022,94.0,68.6,14.1,16.8,159.8,Adequate,13
Ladakh,12,0.0,5484,0.0,0.0,0.0,0.0,0.0,0.0,5496,0.0,0.2,0.0,99.8,,No Data Reported,19
Maharashtra,51149,6155.0,2,30.0,851.0,26.0,1.0,0.0,601.0,58815,265.0,87.0,10.5,0.0,221.9,Adequate,5
Manipur,86,443.0,9,1.0,0.0,0.0,0.0,0.0,1.0,540,0.0,15.9,82.0,1.7,,No Data Reported,26
Meghalaya,16,6.0,3,3.0,0.0,0.0,0.0,0.0,0.0,28,0.0,57.1,21.4,10.7,,No Data Reported,30
Mizoram,9,1.0,4,2.0,1.0,0.0,0.0,0.0,3.0,20,0.0,45.0,5.0,20.0,,No Data Reported,31
Nagaland,44,0.0,121,3.0,0.0,1.0,0.0,1.0,1.0,171,0.0,25.7,0.0,70.8,,No Data Reported,28
Odisha,10329,1808.0,75,21.0,0.0,25.0,0.0,1.0,23.0,12282,39.0,84.1,14.7,0.6,314.9,Adequate,15
Puducherry,1429,32.0,124,9.0,20.0,0.0,0.0,0.0,0.0,1614,3.0,88.5,2.0,7.7,538.0,Under-served,23
Punjab,6408,2878.0,798,35.0,2.0,0.0,0.0,0.0,21.0,10142,24.0,63.2,28.4,7.9,422.6,Adequate,17
Rajasthan,23446,29631.0,12,25.0,1.0,0.0,1.0,1.0,24.0,53141,69.0,44.1,55.8,0.0,770.2,Under-served,6
Sikkim,1,0.0,2414,1.0,0.0,0.0,0.0,0.0,9.0,2425,2.0,0.0,0.0,99.5,1212.5,Under-served,20
Tamil Nadu,44302,4470.0,13,1281.0,37.0,0.0,0.0,0.0,193.0,50296,183.0,88.1,8.9,0.0,274.8,Adequate,7
Tripura,67,7510.0,14,1.0,0.0,0.0,0.0,0.0,1.0,7593,1.0,0.9,98.9,0.2,7593.0,Critical Gap,18
Dadra and Nagar Haveli and Daman and Diu,69,36.0,153,2.0,10.0,7.0,0.0,0.0,0.0,277,0.0,24.9,13.0,55.2,,No Data Reported,27
Uttar Pradesh,18295,257159.0,368,53.0,327.0,2.0,0.0,0.0,13.0,276217,87.0,6.6,93.1,0.1,3174.9,Critical Gap,1
Uttarakhand,2614,22096.0,709,1.0,10.0,0.0,0.0,0.0,21.0,25451,26.0,10.3,86.8,2.8,978.9,Under-served,11
West Bengal,2540,40948.0,615,28.0,97.0,0.0,2.0,0.0,61.0,44291,56.0,5.7,92.5,1.4,790.9,Under-served,9
